date,month,title,language,type,platform_or_distributor,details,source,source_url
2026-06-07,June,Anne Rice’s The Vampire Lestat,English,Show,AMC,"(AMC, Season 3; fka Interview with the Vampire)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-07,June,This Land,English,Show,CNN,"(CNN, new docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,100 Cooks,English,Show,Food Network,"(Food Network, new competition series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Alice and Steve,English,Show,Hulu,"( Hulu , new comedy series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Below Deck Mediterranean,English,Show,Bravo,"(Bravo, Season 11)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Best of the World with Antoni Porowski,English,Show,National Geographic,"(National Geographic, new travelogue series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Crashers,English,Show,HGTV,"(HGTV, new docuseries reboot)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Gamechangers,English,Show,Roku Channel,"(Roku Channel, new anthology docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,Sesame Street,English,Show,Netflix,"(Netflix, Season 56B)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-08,June,The Root of the Game,English,Show,Netflix,"(Netflix, new docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-09,June,The Second Coming of John Cooper,English,Movie,MVD Entertainment Group / Bonus Level Productions / Public Transit,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-09,June,Norway: The Dark Horse,English,Show,Netflix,"(Netflix, new docu-miniseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,Big Girls Wanted: Escaping Pearadise,English,Show,ID,"(ID, new docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,Every Year After,English,Show,Prime Video,"(Prime Video, new drama series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,Most Extreme Humans,English,Show,TLC,"(TLC, new docuseries)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,My Family,English,Show,Netflix,"(Netflix, Season 2)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,Outlast: The Jungle,English,Show,Netflix,"(Netflix, new competition series)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-10,June,Rosario Tijeras (Mexico),English,Show,Netflix,"(Netflix, Season 5)",Deadline,https://deadline.com/feature/2026-tv-premiere-dates-1236391902/
2026-06-12,June,Broken Land,English,Movie,Well Go USA Entertainment,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,Disclosure Day,English,Movie,Universal Pictures / Amblin Entertainment,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
2026-06-12,June,Find Your Friends,English,Movie,Shudder,,Wikipedia,https://en.wikipedia.org/wiki/List_of_American_films_of_2026
